parameter_name,HR
pvalue,0.3880107
gene_symbol,Snap23
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:109356
analysis_id,035ok83u5yi8955
parameter_id,JAXLA_ECG_002_001
