analysis_id,n2x5kc0w4p6k53d
pvalue,0.9253343
mouse_strain,C57BL
mouse_life_stage,E18.5
parameter_id,IMPC_CBC_024_001
gene_accession_id,MGI:1914561
gene_symbol,Nanp
parameter_name,UIBC (unsaturated iron binding capacity)
