parameter_name,Alanine aminotransferase
analysis_id,042vb1c3je4n1fo
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
pvalue,1.434077
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Early adult
