gene_symbol,Rab13
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
parameter_id,MGP_MLN_071_001
pvalue,0.9188219
gene_accession_id,MGI:1927232
analysis_id,a55jn7b2ltj18z2
mouse_strain,C57BL
