mouse_strain,C57BL
pvalue,0.4548293
parameter_id,JAXLA_HBD_001_001
gene_symbol,Dcaf10
mouse_life_stage,Early adult
parameter_name,Total holepokes
analysis_id,b7611i337n6qfj2
gene_accession_id,MGI:2140179
