gene_symbol,Rufy4
gene_accession_id,MGI:3588214
parameter_id,IMPC_CBC_001_001
mouse_strain,C57BL
pvalue,0.1051116
mouse_life_stage,Early adult
parameter_name,Sodium
analysis_id,4i37net050feow3
