analysis_id,9l3zbc894p2g205
mouse_life_stage,Early adult
gene_symbol,Rab22a
gene_accession_id,MGI:105072
parameter_id,ESLIM_011_001_705
mouse_strain,C57BL
parameter_name,Global prepulse inhibition
pvalue,0.3538369
