gene_symbol,Rgs20
parameter_id,MGP_PBI_016_001
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8751634
analysis_id,hpz9pdcj5j5014b
parameter_name,Monocyte percentage
gene_accession_id,MGI:1929866
