analysis_id,q2r380ej12ioas1
gene_symbol,Ufc1
mouse_life_stage,Early adult
gene_accession_id,MGI:1913405
pvalue,0.7099692
parameter_id,IMPC_GEL_028_001
parameter_name,Forebrain
mouse_strain,C57BL
