gene_symbol,Zyg11b
analysis_id,3ara33h917u70ro
mouse_strain,C57BL
pvalue,0.504168
parameter_id,MGP_IMM_110_001
parameter_name,Transitional 1 B cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:2685277
