mouse_life_stage,E18.5
analysis_id,02505t4tyqs9b0m
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
parameter_id,MGP_BMI_006_001
pvalue,0.4631566
mouse_strain,C57BL
