analysis_id,t6u002y85640ghe
parameter_id,IMPC_IMM_065_001
mouse_life_stage,Early adult
parameter_name,B2B Cells
mouse_strain,C57BL
gene_accession_id,MGI:2446274
pvalue,0.2271445
gene_symbol,Frmpd1
