gene_symbol,Ufc1
pvalue,0.5893426
mouse_strain,C57BL
parameter_name,Monocytes
mouse_life_stage,Early adult
analysis_id,kid8ldc95nwy7q6
gene_accession_id,MGI:1913405
parameter_id,IMPC_IMM_051_001
