analysis_id,g9fjkyv97r6gx47
parameter_name,center - distance
pvalue,0.07714245
mouse_life_stage,Early adult
gene_accession_id,MGI:1345282
mouse_strain,C52BL
parameter_id,M-G-P_007_001_010
gene_symbol,Slc30a4
