gene_symbol,Mecom
parameter_name,Coat - hair texture / appearance - abdomen
pvalue,0.1170723
mouse_life_stage,Early adult
mouse_strain,C3H
parameter_id,IMPC_CSD_016_001
analysis_id,9j2998mg8neqf88
gene_accession_id,MGI:95457
