gene_symbol,Hspa5
parameter_id,MGP_IMM_020_001
mouse_life_stage,E9.5
gene_accession_id,MGI:95835
mouse_strain,C57BL
analysis_id,193je48p52m50uh
parameter_name,Effector gd T cells - % of gd T cells
pvalue,0.2263168
