gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_001_001
parameter_name,Skull shape
analysis_id,x3fo4kmc2q395sp
pvalue,0.5786741
