analysis_id,a7h0wg31khj4xow
parameter_name,Eosinophil cell count
mouse_life_stage,Early adult
gene_accession_id,MGI:1924360
mouse_strain,C57BL
gene_symbol,Gpbp1l1
pvalue,0.4726272
parameter_id,IMPC_HEM_036_001
