analysis_id,py03cb18re09pg7
pvalue,0.05157959
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1913838
parameter_name,Ly6Clow monocyte percentage
gene_symbol,Cmpk1
