gene_symbol,Usp37
mouse_strain,C57BL
gene_accession_id,MGI:2442483
parameter_id,JAXLA_CSD_023_001
analysis_id,6q2u438400gj072
parameter_name,Vibrissae - presence
pvalue,0.7569832
mouse_life_stage,Early adult
