parameter_name,Distance travelled - total
pvalue,0.2526444
parameter_id,JAXLA_OFD_020_001
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
analysis_id,1xo6y63k15i1796
mouse_strain,C57BL
gene_accession_id,MGI:1917604
