parameter_name,Tibia length
parameter_id,TCPLA_XRY_033_001
gene_symbol,Rab13
gene_accession_id,MGI:1927232
mouse_strain,C57BL
analysis_id,fqiz481x15mow3l
mouse_life_stage,Early adult
pvalue,0.3820413
