analysis_id,02f73phbw325v4d
mouse_life_stage,Early adult
parameter_name,center - distance
pvalue,0.4422835
gene_symbol,Frmpd1
mouse_strain,C57BL
parameter_id,M-G-P_007_001_010
gene_accession_id,MGI:2446274
