parameter_id,HMGULA_SHI_009_001
parameter_name,Startle response
gene_symbol,Exd1
analysis_id,ew0dp0rw903w074
mouse_life_stage,Early adult
pvalue,0.9404335
mouse_strain,C57BL
gene_accession_id,MGI:3045306
