parameter_name,Glucose response AUC
gene_symbol,Trpa1
pvalue,0.2476626
parameter_id,ESLIM_004_001_701
analysis_id,75v95p5lh37h05q
mouse_strain,C57BL
gene_accession_id,MGI:3522699
mouse_life_stage,Early adult
