analysis_id,79759594m2sm27s
gene_symbol,Hspa5
mouse_life_stage,Early adult
pvalue,0.8204921
parameter_id,JAX_OFD_012_001
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_name,Periphery permanence time
