parameter_name,Magnesium
analysis_id,dn736fh5a5d0341
pvalue,0.2921339
mouse_strain,C57BL
gene_accession_id,MGI:2446274
parameter_id,IMPC_CBC_054_001
mouse_life_stage,Late adult
gene_symbol,Frmpd1
