analysis_id,xb5ed660411gn99
gene_symbol,Frmpd1
gene_accession_id,MGI:2446274
mouse_life_stage,Late adult
pvalue,0.4212083
parameter_id,IMPC_XRY_065_001
mouse_strain,C57BL
parameter_name,Lumbar processes
