analysis_id,fo0j6x1v9wz1qfi
gene_accession_id,MGI:2140475
gene_symbol,AU040320
pvalue,0.5473804
mouse_life_stage,Late adult
parameter_name,Pericardium Morphology
parameter_id,IMPC_GEL_006_001
mouse_strain,C57BL
