analysis_id,1fm6h50affz3b02
mouse_life_stage,Early adult
gene_symbol,Rufy4
parameter_id,MGP_IMM_015_001
mouse_strain,C57BL
pvalue,0.8372544
parameter_name,Resting CD8+ T cells - % of CD8+
gene_accession_id,MGI:3588214
