gene_symbol,F2
parameter_name,Lean mass
gene_accession_id,MGI:88380
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.8722619
parameter_id,IMPC_DXA_003_001
analysis_id,871143a858xgy04
