gene_symbol,Dcaf10
pvalue,0.4987011
analysis_id,cf114sq74eb5l80
mouse_life_stage,Early adult
parameter_name,Body weight
mouse_strain,C57BL
gene_accession_id,MGI:2140179
parameter_id,M-G-P_009_001_003
