mouse_life_stage,Early adult
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:1332236
mouse_strain,129SV
gene_symbol,Cds2
parameter_name,Eye
pvalue,0.1659087
analysis_id,7x23h5s2zts2shf
