parameter_name,Vocalization
gene_symbol,Trim46
mouse_life_stage,Early adult
analysis_id,69697b974ghs3l0
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
pvalue,0.6429557
gene_accession_id,MGI:2673000
