analysis_id,83f804qy02zr0r7
gene_symbol,Mapkap1
parameter_id,MGP_MLN_010_001
pvalue,0.7819389
parameter_name,Resting Treg cells - % of Treg
mouse_strain,C57BL
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
