gene_symbol,Cpa3
analysis_id,m6jae78d2b07pt3
pvalue,0.5044419
mouse_life_stage,Early adult
gene_accession_id,MGI:88479
mouse_strain,C57BL
parameter_name,Total cholesterol
parameter_id,HMGULA_CBC_015_001
