analysis_id,r8kb96mxnbwy1n0
gene_symbol,DNAJC5B
mouse_strain,C57BL
parameter_name,Hindlimbs - shape
parameter_id,JAXLA_CSD_021_001
pvalue,0.4402911
mouse_life_stage,Early adult
gene_accession_id,MGI:1913576
