analysis_id,w7p6lfxv5c7qri5
pvalue,0.9807965
mouse_life_stage,Early adult
parameter_name,IgD+ mature B cell percentage
mouse_strain,C57BL
gene_symbol,Rap2b
parameter_id,MGP_PBI_015_001
gene_accession_id,MGI:1921262
