parameter_id,HRWLLA_OFD_013_001
parameter_name,Periphery average speed
mouse_strain,C57BL
gene_accession_id,MGI:88461
pvalue,0.2434645
gene_symbol,Col6a3
mouse_life_stage,Early adult
analysis_id,5139606l0tsz6ci
