parameter_name,Periphery permanence time
gene_symbol,Fpgs
gene_accession_id,MGI:95576
pvalue,0.09203696
mouse_strain,C57BL
parameter_id,IMPC_OFD_012_001
analysis_id,90t43qe90gcmp00
mouse_life_stage,Early adult
