analysis_id,7o87jf32d66930u
pvalue,0.3866917
parameter_name,Limb morphology
gene_symbol,Cisd2
mouse_strain,C57BL
parameter_id,IMPC_GEP_084_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1914256
