parameter_name,Snout morphology
gene_accession_id,MGI:2653612
gene_symbol,Amigo1
parameter_id,MGP_CSD_066_001
analysis_id,k65812p6i19jf26
mouse_strain,C57BL
pvalue,0.6876862
mouse_life_stage,Early adult
