analysis_id,dtlu8n90577w10y
gene_accession_id,MGI:1914836
gene_symbol,Ubxn11
parameter_name,KLRG1+ mature NK cell number
mouse_life_stage,Early adult
parameter_id,MGP_PBI_031_001
pvalue,0.4607714
mouse_strain,C57BL
