analysis_id,2349oy341t4197p
parameter_name,Periphery permanence time
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:105073
gene_symbol,Tnni1
pvalue,0.7995527
