analysis_id,28gdhl6995k4lf1
parameter_name,Liver weight
pvalue,0.4881067
gene_accession_id,MGI:1913483
parameter_id,UCD_OWT_008_001
mouse_strain,C57BL
gene_symbol,Dmap1
mouse_life_stage,Early adult
