analysis_id,5c5b426hkt631q8
mouse_life_stage,Early adult
pvalue,0.9026172
parameter_id,MGP_IMM_036_001
gene_accession_id,MGI:2673000
mouse_strain,C57BL
gene_symbol,Trim46
parameter_name,KLRG1+ NK cells - % of NK cells
