analysis_id,08h3215f3nw1077
parameter_id,ESLIM_011_001_704
gene_symbol,Wars2
pvalue,0.09413344
mouse_strain,C57BL
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
parameter_name,Prepulse inhibition - PP4
