gene_symbol,Zfp683
parameter_id,IMPC_CSD_036_001
pvalue,0.6967967
gene_accession_id,MGI:3650254
analysis_id,o378vl74qx96bx6
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Startle response
