parameter_name,DN CD44+CD62L+ NKT cells
gene_accession_id,MGI:1915325
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
pvalue,0.7587769
analysis_id,jx58k98l571p432
mouse_life_stage,Early adult
gene_symbol,Lurap1
