gene_symbol,Dcaf10
parameter_id,IMPC_CBC_005_001
pvalue,0.1660365
mouse_strain,C57BL
analysis_id,s1o2f2050g0jvzd
mouse_life_stage,Early adult
gene_accession_id,MGI:2140179
parameter_name,Creatinine
