gene_symbol,Tiprl
pvalue,0.1899916
parameter_id,MGP_IMM_011_001
gene_accession_id,MGI:1915087
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Resting Treg cells - % of Treg
analysis_id,v81b3sb4h34gv12
