parameter_id,JAXLA_OFD_017_001
analysis_id,on40n8d68954sx0
mouse_life_stage,Early adult
pvalue,0.8580325
gene_accession_id,MGI:1931322
gene_symbol,Car13
parameter_name,Center average speed
mouse_strain,C57BL
