parameter_name,DN CD25- NKT cells
gene_accession_id,MGI:1914071
analysis_id,b550uk75992jc22
mouse_strain,C57BL
mouse_life_stage,E9.5
pvalue,0.1120989
gene_symbol,Bcs1l
parameter_id,IMPC_IMM_025_001
