gene_symbol,Bmi1
parameter_id,IMPC_CBC_058_001
parameter_name,Cholesterol ratio
mouse_life_stage,E15.5
pvalue,0.7202072
gene_accession_id,MGI:88174
mouse_strain,C57BL
analysis_id,y39wf54n3jk6016
