parameter_name,DN CD44+CD62L+ NKT cells
analysis_id,6t37n4a7bgxuf98
pvalue,0.1459546
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_047_001
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_strain,C57BL
