parameter_id,IMPC_OFD_011_001
mouse_life_stage,Early adult
pvalue,0.4545227
analysis_id,5479dt634y08ao5
gene_accession_id,MGI:1931749
mouse_strain,C57BL
parameter_name,Periphery resting time
gene_symbol,Pum1
