parameter_name,BMC/Body weight
analysis_id,ffr2ax2rs67pzx8
mouse_strain,C57BL
pvalue,0.6530557
gene_symbol,Rab13
parameter_id,IMPC_DXA_007_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1927232
