parameter_name,CD8 CD44-CD62L+ T cells
parameter_id,IMPC_IMM_034_001
gene_symbol,Zc2hc1a
pvalue,0.9691454
mouse_strain,C57BL
analysis_id,29f1tr8xzjcm1z2
mouse_life_stage,Early adult
gene_accession_id,MGI:1914556
