analysis_id,3294910fr2xel73
parameter_id,IMPC_CBC_018_001
gene_symbol,Wars2
parameter_name,Glucose
mouse_strain,C57BL
pvalue,0.7483317
mouse_life_stage,E12.5
gene_accession_id,MGI:1917810
