parameter_id,JAX_OFD_016_001
gene_symbol,Rap2b
mouse_life_stage,Early adult
pvalue,0.00483655
mouse_strain,C57BL
gene_accession_id,MGI:1921262
analysis_id,o371t949m2l44vp
parameter_name,Center permanence time
