analysis_id,6x728ca3k003194
mouse_life_stage,Early adult
parameter_id,ESLIM_007_001_009
parameter_name,Periphery average speed
gene_accession_id,MGI:109585
gene_symbol,Pld1
mouse_strain,C57BL
pvalue,0.6353999
