analysis_id,bxagv5005273890
mouse_strain,C57BL
pvalue,0.8908112
mouse_life_stage,Early adult
gene_symbol,Ola1
parameter_name,Total T cells - % of CD45+
gene_accession_id,MGI:1914309
parameter_id,MGP_IMM_001_001
