analysis_id,2je0x23y096qp3q
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Bach2
pvalue,0.741482
gene_accession_id,MGI:894679
parameter_id,IMPC_XRY_021_001
parameter_name,Humerus
