analysis_id,0i8ih79vjon9649
pvalue,0.2784982
parameter_name,Activity (body position)
parameter_id,IMPC_CSD_029_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1309468
gene_symbol,Casq1
mouse_strain,C57BL
